,debuted_genes
1885,1
1886,2
1887,0
1888,0
1889,0
1890,1
1891,1
1892,0
1893,1
1894,0
1895,0
1896,1
1897,2
1898,0
1899,1
1900,1
1901,0
1902,0
1903,1
1904,0
1905,3
1906,2
1907,0
1908,0
1909,0
1910,0
1911,3
1912,0
1913,0
1914,2
1915,2
1916,1
1917,2
1918,1
1919,3
1920,2
1921,3
1922,1
1923,1
1924,1
1925,3
1926,3
1927,0
1928,2
1929,3
1930,2
1931,0
1932,4
1933,2
1934,1
1935,2
1936,2
1937,3
1938,2
1939,3
1940,5
1941,6
1942,4
1943,1
1944,1
1945,2
1946,8
1947,7
1948,14
1949,12
1950,7
1951,19
1952,10
1953,21
1954,18
1955,9
1956,19
1957,19
1958,22
1959,23
1960,20
1961,33
1962,40
1963,45
1964,66
1965,90
1966,103
1967,91
1968,120
1969,153
1970,141
1971,168
1972,169
1973,206
1974,220
1975,441
1976,356
1977,330
1978,357
1979,319
1980,386
1981,372
1982,465
1983,498
1984,530
1985,560
1986,621
1987,733
1988,837
1989,963
1990,1113
1991,1228
1992,1459
1993,1429
1994,1517
1995,1587
1996,1560
1997,1598
1998,1638
1999,1656
2000,1731
2001,1827
2002,1847
2003,1798
2004,1790
2005,1644
2006,1595
2007,1586
2008,1644
2009,1405
2010,1337
2011,1436
2012,1360
2013,1268
2014,1167
2015,1100
2016,1007
2017,788
2018,687
2019,730
2020,644
2021,596
